Date,return,S&P500,Interest_rate,net_value,cum_profit,benchmark,benchmark_return,Annu_return,algo_volatility,xret,ex_return,sharpe,IR,hit_rate,VaR,CVaR,max_drawdown_profit,max_drawdown_ret,max_drawdown_profit_start,max_drawdown_profit_end
2008-09-11,0.002503757944661286,1249.050049,0.0281875,1.047954776798157,-11.162329683213102,0.8291953192457485,0.013806377602635731,0.0050967194438324434,0.2909304147508655,0.002391007944661286,-0.011302619657974446,0.14254846829244472,0.4652316969273823,0.43521594684385384,0.35591770310313225,0.49586922995704785,89.11801185361583,0.22433839365458672,,
2008-09-12,0.011755355275387819,1251.699951,0.0281875,1.060273857511959,-7.766192303365074,0.8309544852108107,0.0021215338825867638,0.005697290099744984,0.2906319621536649,0.011642605275387819,0.009633821392801055,0.1755512868225247,0.48174348568614317,0.4370860927152318,0.3555344358052626,0.49586922995704785,89.11801185361583,0.22433839365458672,,
2008-09-15,0.054783829346484555,1192.699951,0.028162500000000004,1.118359719582433,8.583039420226328,0.7917867001611508,-0.047135897027769394,0.008546664630554852,0.2943437358025515,0.05467117934648456,0.10191972637425395,0.32678756089988514,0.6514235313235217,0.4389438943894389,0.3541306450481673,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-16,-0.01095606683986008,1213.599976,0.028762500000000003,1.1061068957436808,5.086059333266633,0.8056614067159391,0.0175232882188655,0.007946739575486994,0.29404150384889693,-0.01107111683986008,-0.028479355058725578,0.2949229449213525,0.5992108644243533,0.4375,0.35272685429107203,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-17,0.0563680119509287,1156.390015,0.030625,1.1684559424619652,22.600415191332786,0.7676819583236099,-0.04714070709572921,0.010852363868668386,0.2978953247052575,0.0562455119509287,0.10350871904665791,0.44568381984759703,0.7650611797205648,0.43934426229508194,0.3513230635339768,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-18,0.0029491779354819257,1206.51001,0.0320375,1.1719019269460569,23.562491487332295,0.8009546564736104,0.043341774271546354,0.010969669552725804,0.2974120176337816,0.0028210279354819257,-0.04039259633606443,0.4527300561527183,0.6922020700968666,0.43790849673202614,0.3499192727768815,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-19,0.019439486771990547,1255.079956,0.032100000000000004,1.1946830989529948,29.929196530281047,0.8331983379109255,0.04025656281127744,0.01193828263824311,0.2974071083209098,0.019311086771990546,-0.02081707603928689,0.504393360431374,0.6548860441813295,0.4364820846905538,0.3485154820197862,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-22,0.022088983231735262,1207.089966,0.031974999999999996,1.221072433893005,37.31654836016554,0.8013396665065979,-0.03823659980432346,0.01303704227475617,0.29754422409790715,0.021961083231735262,0.06032558303605872,0.5627201137807321,0.7520950615833101,0.4383116883116883,0.3471116912626909,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-23,0.017777447606261192,1188.219971,0.0321125,1.2427799851099877,43.372646420511785,0.7888126172176461,-0.015632633466858004,0.013907331511203285,0.2974516193196423,0.017648997606261194,0.0334100810731192,0.6093049936012725,0.8059922060007535,0.4401294498381877,0.34570790050559563,0.48709830532256126,89.11801185361583,0.22433839365458672,,
2008-09-24,-0.014628914528483522,1185.869995,0.0347625,1.2245994629301038,38.17503350957185,0.7872525603559536,-0.001977728078431619,0.013113769117867092,0.29729579779992615,-0.014767964528483522,-0.012651186450051904,0.5673916812906624,0.7830631413709387,0.43870967741935485,0.3443041097485004,0.48709830532256126,89.11801185361583,0.22433839365458672,,
