Date,return,S&P500,Interest_rate,net_value,cum_profit,benchmark,benchmark_return,Annu_return,algo_volatility,xret,ex_return,sharpe,IR,hit_rate,VaR,CVaR
2008-12-01,-0.0021206390005335043,816.210022,0.0222,0.9746002123679989,-585.710022,0.5499141128516085,-0.0892952433421322,-0.001673601370119583,0.015254961808713753,-0.0022094390005335043,0.08717460434159868,-3.9667099555928824,1.2603573719736962,0.5206611570247934,0.013433446019506004,0.02530244139212896
2008-12-02,-0.0003885032957206547,848.8099980000001,0.0221,0.9742215769734838,-553.1100459999999,0.5718780515411824,0.03994067105439203,-0.001691993037175865,0.015226110069413615,-0.00047690329572065465,-0.040329174350112684,-3.9902890256649317,1.1483293741987046,0.5185185185185185,0.013324830202747443,0.02530244139212896
2008-12-03,-0.00016405707209695385,870.73999,0.0220125,0.9740617490339918,-531.1800539999999,0.586653185110325,0.025836161274810913,-0.0016956896643613088,0.015194858043934523,-0.00025210707209695384,-0.02600021834690787,-3.999107257138193,1.0774950697058974,0.5163934426229508,0.013216214385988885,0.02530244139212896
2008-12-04,-0.00021903632529646222,845.2199710000001,0.021925,0.9738483941278715,-556.7000729999999,0.5694593033518612,-0.029308426502841472,-0.0017029042714098417,0.015164109556586286,-0.00030673632529646224,0.02908939017754501,-4.01154800393893,1.1460110826515033,0.5183673469387755,0.013107598569230324,0.02530244139212896
2008-12-05,-0.00032516328444240003,876.070007,0.0218563,0.9735317343854879,-525.8500369999999,0.5902442358093314,0.03649941678910006,-0.0017168814205158825,0.015134718532389348,-0.0004125884844424,-0.03682458007354246,-4.030845395495582,1.0463823671993981,0.516260162601626,0.012998982752471768,0.02530244139212896
2008-12-08,-0.0003592326342079094,909.7000119999999,0.021893799999999998,0.9731820100160596,-492.22003200000006,0.6129021472123968,0.03838734887770196,-0.001732926300067622,0.015106030427207219,-0.00044680783420790937,-0.03874658151190987,-4.052259536962308,0.9428969814823276,0.5141700404858299,0.012890366935713207,0.02530244139212896
2008-12-09,-0.0001357006532501908,888.669983,0.0216375,0.9730499485815691,-513.250061,0.5987333555667845,-0.02311754284114484,-0.0017345903703141906,0.015075443181952256,-0.00022225065325019082,0.022981842187894647,-4.058943468399852,0.996538183124747,0.5161290322580645,0.012781751118954646,0.02530244139212896
2008-12-10,-3.508995113107698e-05,899.23999,0.0209875,0.9730158043064253,-502.6800539999999,0.605854802088597,0.011894187046036573,-0.0017298523400831741,0.015045204209640336,-0.00011903995113107697,-0.01192927699716765,-4.058589886303119,0.9645407394751606,0.5140562248995983,0.01267313530219609,0.02530244139212896
2008-12-11,-0.0002073579457660072,873.590027,0.0199625,0.9728140417480465,-528.330017,0.5885733717365673,-0.02852404617815099,-0.0017360473987139264,0.015015282063383996,-0.0002872079457660072,0.028316688232384986,-4.0695819052261575,1.0301210677541954,0.516,0.012564519485437527,0.02530244139212896
2008-12-12,-1.2292091014788273e-05,879.7299800000001,0.0192125,0.9728020838293049,-522.1900639999999,0.5927101094829039,0.007028414714262879,-0.0017299051980181105,0.01498553736257681,-8.914209101478827e-05,-0.007040706805277667,-4.0671773837153715,1.0105618646288221,0.5139442231075697,0.01245590366867897,0.02530244139212896
2008-12-15,-4.057513317467197e-05,868.570007,0.0187125,0.9727626122552009,-533.3500369999999,0.5851911787097861,-0.012685679985579361,-0.0017255863249544796,0.014955813048536156,-0.00011542513317467197,0.01264510485240469,-4.066610309433918,1.0391125084982074,0.5158730158730159,0.01234728785192041,0.02530244139212896
2008-12-16,-0.0006377243966413822,913.179993,0.018475,0.9721422578052252,-488.740051,0.6152467529055078,0.051360265310197294,-0.001758620798232197,0.014935355112576574,-0.0007116243966413822,-0.05199798970683868,-4.103698825915459,0.9023627398684849,0.5138339920948617,0.012238672035161848,0.02530244139212896
2008-12-17,-2.3153946216110388e-05,904.419983,0.015775,0.9721197488756737,-497.50006099999996,0.6093447754758295,-0.009592862378884738,-0.0017531384172719117,0.014906065460436399,-8.625394621611039e-05,0.009569708432668628,-4.101081917226971,0.9235167233735583,0.515748031496063,0.012130056218403292,0.02530244139212896
2008-12-18,-0.00011356994966008407,885.2800289999999,0.01525,0.9720093452847303,-516.6400150000001,0.5964494047498736,-0.02116268366441001,-0.001753305319844895,0.014876694113083413,-0.00017456994966008407,0.021049113714749927,-4.104496529235731,0.9713443499929874,0.5176470588235295,0.01202144040164473,0.02530244139212896
2008-12-19,-2.1521278749752053e-06,887.8800050000001,0.014975,0.9720072533963235,-514.0400389999999,0.5982011150412667,0.0029368967048054796,-0.0017465893933201271,0.014847884303240716,-6.20521278749752e-05,-0.0029390488326804546,-4.100254471225111,0.9623175629463313,0.515625,0.011912824584886173,0.02530244139212896
2008-12-22,-8.477699553454884e-05,871.6300050000001,0.0146625,0.9719248495417429,-530.2900389999999,0.5872528246589187,-0.0183020226928075,-0.0017450090532503037,0.014818877810218999,-0.00014342699553454883,0.01821724569727295,-4.101596369419263,1.003308444266792,0.5175097276264592,0.011804208768127614,0.02530244139212896
2008-12-23,-2.3761328504927e-05,863.159973,0.0146625,0.9719017553161108,-538.7600709999999,0.5815462172814553,-0.009717462629111863,-0.0017397016522359046,0.014790264895142824,-8.2411328504927e-05,0.009693701300606936,-4.098806822494261,1.0243425065673242,0.5193798449612403,0.01169559295136905,0.02530244139212896
2008-12-24,-8.323339272544705e-06,868.150024,0.014675,0.9718936658480617,-533.7700199999999,0.5849082189658077,0.005781142726830391,-0.0017334927792512014,0.014761911950208803,-6.702333927254471e-05,-0.005789466066102936,-4.094991680540608,1.008375181261521,0.5173745173745173,0.011586977134610495,0.02530244139212896
2008-12-29,-5.344493706548959e-07,869.419983,0.0145875,0.9718931464201036,-532.500061,0.5857638423446185,0.0014628335712630178,-0.0017268580008176454,0.014733774897591147,-5.88844493706549e-05,-0.0014633680206336728,-4.090650606373115,1.0029134932182386,0.5153846153846153,0.011478361317851933,0.02530244139212896
2008-12-30,-0.0001465470552307127,890.6400150000001,0.014350000000000002,0.9717507183414967,-511.2800289999999,0.6000606467913088,0.02440711326507431,-0.0017291195119049252,0.014705458805020498,-0.00020394705523071272,-0.024553660320305024,-4.09607935339492,0.9407395484701632,0.5134099616858238,0.011369745501093376,0.02530244139212896
2008-12-31,-4.964659446062784e-05,903.25,0.01425,0.9717024742276664,-498.67004399999996,0.6085565100218966,0.014158340954397799,-0.0017255159320229653,0.014677376294626792,-0.00010664659446062784,-0.014207987548858426,-4.09502574394503,0.9046461240714702,0.5114503816793893,0.011361183978757364,0.02430724882848356
2009-01-02,-0.00024462608218607865,931.7999880000001,0.014125,0.9714647704583456,-470.12005599999986,0.6277918059626074,0.031608068641018595,-0.001733661795300284,0.014649934881324073,-0.00030112608218607867,-0.03185269472320468,-4.106739650689566,0.8250446024342648,0.5095057034220533,0.011352622456421352,0.02430724882848356
2009-01-05,-5.465408071661168e-06,927.4500119999999,0.0142125,0.9714594610069478,-474.47003200000006,0.6248610490146538,-0.004668358076862508,-0.0017274222267167356,0.014622408223465062,-6.231540807166117e-05,0.0046628926687908466,-4.1027024289560465,0.83440188214315,0.5113636363636364,0.01134406093408534,0.02430724882848356
2009-01-06,-1.5197741224604044e-05,934.7000119999999,0.0141125,0.9714446970174492,-467.22003200000006,0.6297456708775475,0.007817132897939977,-0.001721810434871759,0.014594973897165882,-7.164774122460405e-05,-0.00783233063916458,-4.099329211912614,0.8142574658770966,0.5094339622641509,0.011335499411749328,0.02430724882848356
2009-01-07,-0.00022975246074958926,906.650024,0.013975,0.9712215052078272,-495.27001999999993,0.6108472454101398,-0.030009615534272522,-0.0017289942504173002,0.014567881347042524,-0.00028565246074958926,0.029779863073522934,-4.110025447302332,0.8803351589969889,0.5112781954887218,0.011326937889413316,0.02430724882848356
2009-01-08,-2.878508488690819e-06,909.7299800000001,0.013537500000000001,0.9712187095384801,-492.1900639999999,0.6129223378810847,0.0033970726503836086,-0.001722689078001662,0.014540837325444025,-5.702850848869082e-05,-0.0033999511588722994,-4.105692195231058,0.870699354991149,0.5093632958801498,0.011318376367077306,0.02430724882848356
2009-01-09,-0.00011509223674592214,890.349976,0.0126,0.9711069298048298,-511.570068,0.599865235640896,-0.0213030288393927,-0.0017230513129553955,0.014513582960321446,-0.00016549223674592215,0.021187936602646777,-4.108612181967719,0.9173031021727189,0.5111940298507462,0.011309814844741292,0.02430724882848356
2009-01-12,-0.0001292326208362192,870.26001,0.0116,0.970981431111179,-531.660034,0.5863298029307731,-0.022564122582735876,-0.001724242003796368,0.014486493237071293,-0.0001756326208362192,0.022434889961899657,-4.11219865296992,0.9663843320902564,0.5130111524163569,0.01130125332240528,0.02430724882848356
2009-01-13,-7.717879814026721e-07,871.7899779999999,0.0109438,0.9709806817193802,-530.130066,0.58736060501937,0.0017580584910480244,-0.0017179011187432695,0.01445991698033622,-4.454698798140267e-05,-0.001758830279029427,-4.107088552968155,0.9604913267180163,0.5111111111111111,0.011292691800069268,0.02430724882848356
2009-01-14,-0.00028629519475987034,842.6199949999999,0.010825,0.9707026946159993,-559.3000490000001,0.5677075930604681,-0.03345987420837286,-0.0017282657806409456,0.014434123012562625,-0.00032959519475987036,0.033173579013612994,-4.120489446497351,1.032282058293024,0.5129151291512916,0.011284130277733258,0.02430724882848356
2009-01-15,-4.412899437973832e-07,843.73999,0.0108563,0.9707022662546618,-558.1800539999999,0.5684621795519623,0.0013291816081343255,-0.001721937514560114,0.014407845196534493,-4.386648994379738e-05,-0.0013296228980781229,-4.115364300639614,1.0272968341046196,0.5110294117647058,0.011275568755397246,0.02430724882848356
2009-01-16,-1.4222709705906389e-05,850.1199949999999,0.011425000000000001,0.9706884602381181,-551.8000490000001,0.5727606501600134,0.0075615771157176714,-0.001716453790279125,0.014381621216619298,-5.9922709705906395e-05,-0.007575799825423578,-4.111350007091504,1.0078014876671755,0.5091575091575091,0.011267007233061233,0.02430724882848356
2009-01-20,-0.0007229562752224215,805.219971,0.011225,0.9699866949245028,-596.700073,0.54250966548762,-0.052816101566932214,-0.001751908128241873,0.014367248406154649,-0.0007678562752224215,0.05209314529170979,-4.1500504685818465,1.1170173009276576,0.5109489051094891,0.011391164412935905,0.024311620034982037
2009-01-21,-0.0004595937658350181,840.23999,0.01125,0.9695408950865726,-561.6800539999999,0.5661040862388412,0.043491244953237834,-0.001771962336838316,0.014344862290524282,-0.0005045937658350181,-0.04395083871907285,-4.173832271914448,1.0094607716332782,0.509090909090909,0.011388104568386972,0.024311620034982037
2009-01-22,-5.806165588744406e-05,827.5,0.0115938,0.9694846019367533,-574.420044,0.5575206333164898,-0.015162322850165793,-0.0017688683986129097,0.014318849225216642,-0.00010443685588744405,0.015104261194278348,-4.172703559058698,1.0410705582805002,0.5108695652173914,0.01138504472383804,0.024311620034982037
2009-01-23,-7.203985900054201e-06,831.950012,0.011693799999999999,0.9694776177833507,-569.970032,0.560518788613778,0.0053776580060423025,-0.001762893801572356,0.014293231635028833,-5.39791859000542e-05,-0.005384861991942357,-4.168259323236031,1.0269579648890035,0.5090252707581228,0.011381984879289106,0.024311620034982037
2009-01-26,-7.681118114774739e-06,836.570007,0.0118375,0.9694701711112589,-565.3500369999999,0.5636314684183932,0.005553212252372743,-0.0017569893243764027,0.014267747897282761,-5.5031118114774745e-05,-0.005560893370487517,-4.163916312581062,1.012502982620188,0.5071942446043165,0.011378925034740174,0.024311620034982037
2009-01-27,-2.96264948490485e-05,845.7100220000001,0.0118438,0.9694414491082282,-556.2100219999999,0.5697894707764865,0.010925582944070263,-0.0017523708537300758,0.014242272288748256,-7.70016948490485e-05,-0.010955209438919311,-4.161055207989623,0.9857618264784699,0.5053763440860215,0.011375865190191242,0.024311620034982037
2009-01-28,-0.00027538435571428793,874.090027,0.0117438,0.9691744800993628,-527.830017,0.5889102422098703,0.03355760752708687,-0.0017616631327530962,0.014217575867491011,-0.00032235955571428794,-0.03383299188280116,-4.173793423059346,0.9054056936622531,0.5035714285714286,0.01137280534564231,0.024311620034982037
2009-01-29,-0.00028044612960082677,845.1400150000001,0.0117,0.968902678867511,-556.7800289999999,0.5694054337207344,-0.033120171956841256,-0.0017711740918984122,0.014193060124122648,-0.00032724612960082676,0.03283972582724043,-4.186797764293376,0.9740110518905531,0.505338078291815,0.011369745501093376,0.024311620034982037
2009-01-30,-0.00013184308069835206,825.880005,0.0118438,0.9687749357534322,-576.040039,0.5564291763516928,-0.022789135123367728,-0.0017722856098126053,0.014167795355813976,-0.00017921828069835207,0.022657292042669377,-4.190549617333502,1.0210770400671714,0.5070921985815603,0.011361183978757364,0.023448828399389457
2009-02-02,-7.098583039324806e-08,825.4400019999999,0.01225,0.9687748669841388,-576.480042,0.5561327283139632,-0.0005327686798762966,-0.0017660270825147805,0.014143044731719512,-4.907098583039325e-05,0.0005326976940459034,-4.185877120770282,1.0204345380882534,0.508833922261484,0.011352622456421352,0.023448828399389457
2009-02-03,-6.202492480279938e-05,838.51001,0.0123375,0.9687147787958633,-563.410034,0.5649385278760316,0.015833989106818228,-0.001763261846908699,0.014118111816147649,-0.00011137492480279938,-0.015896014031621025,-4.185299567789267,0.9828660702671383,0.5070422535211268,0.01134406093408534,0.023448828399389457
2009-02-04,-1.4093607589104207e-05,832.22998,0.0123563,0.9687011261099052,-569.690064,0.5607074145191173,-0.007489511067375365,-0.0017578568562253384,0.014093529452501401,-6.351880758910422e-05,0.007475417459786261,-4.181628409480259,0.9974286282246028,0.5087719298245614,0.011335499411749328,0.023448828399389457
2009-02-05,-6.62370390150744e-05,845.849976,0.0124125,0.9686369622156211,-556.070068,0.5698837635169277,0.0163656637315566,-0.0017553723900978558,0.0140688449751027,-0.0001158870390150744,-0.016431900770571675,-4.181377892305098,0.958871531027074,0.506993006993007,0.011326937889413316,0.023448828399389457
2009-02-06,-0.0001776702969165083,868.599976,0.0124125,0.96846486419894,-533.320068,0.5852113700522149,0.026896022516409015,-0.0017590443122719847,0.014044365319696875,-0.0002273202969165083,-0.02707369281332552,-4.188181855684911,0.8961146819933515,0.5052264808362369,0.011318376367077306,0.023448828399389457
2009-02-09,-5.509045009712867e-07,869.8900150000001,0.0122813,0.9684643306672872,-532.0300289999999,0.5860805221492337,0.0014851934557273158,-0.001752966764538337,0.014020255809318817,-4.967610450097129e-05,-0.001485744360228287,-4.183662146965554,0.8913016725173133,0.5034722222222222,0.011309814844741292,0.023448828399389457
2009-02-10,-0.0006237346944111891,827.159973,0.012218799999999998,0.9678602658639502,-574.7600709999999,0.5572915432036383,-0.049121200684203704,-0.0017810260887096312,0.014004020272165595,-0.000672609894411189,0.048497465989792515,-4.2161992032245825,0.9890904251664977,0.5051903114186851,0.01130125332240528,0.023448828399389457
2009-02-11,-1.573690862625033e-05,833.73999,0.0123125,0.9678450347353834,-568.1800539999999,0.561724770085902,0.007954950934261426,-0.0017757426276207861,0.013980060402824878,-6.498690862625033e-05,-0.007970687842887677,-4.212659035091723,0.9699762517581053,0.503448275862069,0.011292691800069268,0.023448828399389457
2009-02-12,-7.552987399960269e-07,835.1900019999999,0.0123438,0.9678443037232481,-566.730042,0.562701702543372,0.0017391657080042854,-0.0017696814581844988,0.013956319046283914,-5.013049873999603e-05,-0.0017399210067442815,-4.208181765607234,0.9645349387533221,0.5017182130584192,0.011284130277733258,0.023448828399389457
2009-02-13,-2.5156287253816356e-05,826.840027,0.012375,0.9678199563539267,-575.080017,0.5570759824827354,-0.009997695111297522,-0.0017649830827317354,0.013932549804183555,-7.465628725381637e-05,0.009972538824043706,-4.205318863530506,0.9840854642270283,0.5034246575342466,0.011275568755397246,0.023448828399389457
2009-02-17,-0.0005352262288320364,789.169983,0.0124563,0.967301953728499,-612.750061,0.5316961313794846,-0.045559047421394376,-0.0017878420815376293,0.013914174996272614,-0.0005850514288320365,0.04502382119256234,-4.232872934700404,1.0734179359626408,0.5051194539249146,0.011267007233061233,0.023448828399389457
2009-02-18,-2.2594185366300564e-07,788.419983,0.0125125,0.9673017351745026,-613.500061,0.53119082566953,-0.0009503655944299169,-0.001781773137227575,0.01389080015864892,-5.0275941853663e-05,0.0009501396525762539,-4.228426312572577,1.0736038724366828,0.5068027210884354,0.01125844571072522,0.023448828399389457
2009-02-19,-3.643666125005291e-05,778.9400019999999,0.0125063,0.9672664899288514,-622.980042,0.5248037742967828,-0.012024024256625203,-0.0017776861577773488,0.013867333893332397,-8.646186125005291e-05,0.01198758759537515,-4.226331319999308,1.0969256607481175,0.5084745762711864,0.011249884188389209,0.023448828399389457
2009-02-20,-3.2813843055679547e-05,770.049988,0.0124875,0.9672347501980579,-631.870056,0.518814207849082,-0.01141296374197491,-0.0017734332735084937,0.013844003346720575,-8.276384305567954e-05,0.01138014989891923,-4.224020627308087,1.118908330306412,0.5101351351351351,0.011241322666053198,0.023448828399389457
2009-02-23,-0.00030815474129240045,743.330017,0.0124875,0.9669366922238416,-658.590027,0.5008118692942564,-0.03469900839736138,-0.0017838673509422013,0.013821768161526471,-0.00035810474129240044,0.03439085365606898,-4.238563488347092,1.1864337528664712,0.5117845117845118,0.011232761143717187,0.023448828399389457
2009-02-24,-0.0003916327219447638,773.1400150000001,0.0125,0.9665580081751177,-628.7800289999999,0.5208960855651003,0.04010331524120335,-0.0017986606049255642,0.013800842471485195,-0.0004416327219447638,-0.04049494796314811,-4.257887455844236,1.0940172090850406,0.5100671140939598,0.011224199621381173,0.023448828399389457
2009-02-25,-2.8600704287375968e-05,764.900024,0.0125625,0.9665303639353493,-637.0200199999999,0.5153444662287351,-0.010657825025393359,-0.0017941574485250279,0.01377788727406984,-7.885070428737597e-05,0.010629224321105982,-4.255317501020244,1.114191277776179,0.5117056856187291,0.011215638099045161,0.023448828399389457
2009-02-26,-6.291363267294653e-05,752.830017,0.0126125,0.9664695559990654,-649.090027,0.5072124082870136,-0.01577984915843075,-0.0017914927632819728,0.013754905465455849,-0.00011336363267294654,0.015716935525757803,-4.254948566234149,1.144571743783334,0.5133333333333333,0.01120707657670915,0.023448828399389457
2009-02-27,-0.00014104036811313746,735.090027,0.012643799999999998,0.9663332447771171,-666.830017,0.4952602506316321,-0.023564403118107948,-0.0017929497442223333,0.013731984752512897,-0.00019161556811313744,0.023423362749994812,-4.259444049052819,1.1900328699114244,0.5149501661129569,0.011198515054373139,0.023448828399389457
2009-03-02,-0.0005608610818911008,700.820007,0.012662500000000002,0.965791266067984,-701.1000369999999,0.4721711349166246,-0.04662016724653492,-0.0018163770376143473,0.013715199034547017,-0.0006115110818911008,0.04605930616464382,-4.287960466404155,1.2773234357435754,0.5165562913907285,0.011189996953212416,0.022683183815325938
2009-03-03,-1.0305704666935863e-05,696.330017,0.0127125,0.965781312908426,-705.590027,0.4691460448037729,-0.006406766295415003,-0.0018109201744479723,0.013692802389561333,-6.115570466693587e-05,0.006396460590748066,-4.2842784766267386,1.2883467951043337,0.5181518151815182,0.01118147885205169,0.022683183815325938
