,return,S&P500,Interest_rate,net_value,cum_profit,benchmark,benchmark_return,Annu_return,algo_volatility,xret,ex_return,sharpe,IR,hit_rate,VaR,CVaR,max_drawdown_profit,max_drawdown_ret,max_drawdown_profit_start,max_drawdown_profit_end
0,,1506.339966,0.0536,1.0,0.0,1.0,,,,,,,,0.0,,,0.0,0.0,,
1,-0.008508659844569081,1505.709961,0.0536,0.991491340155431,-0.9939159358701772,0.9995817643996574,-0.000418235600342598,-0.1345337247222628,,-0.008723059844569081,-0.008090424244226483,,,0.0,0.1345337247222628,,0.9939159358701772,0.008508659844569055,,
2,0.01355330679464527,1503.349976,0.0536,1.0049293264727914,0.5857728665871065,0.9980150629555825,-0.0015673569685575874,0.039881435884156206,0.24666028561307932,0.01333890679464527,0.015120663763202858,3.3080889686047685,4.788997691399917,0.3333333333333333,0.1170922086616209,0.1345337247222628,0.9939159358701772,0.008508659844569055,,
3,0.009226977943936685,1519.430054,0.0536,1.014201787203371,1.6846461362249414,1.0086899958146631,0.010696164071379058,0.07521806762773303,0.1848423135494317,0.009012577943936685,-0.0014691861274423734,7.525037230190272,3.002129070512028,0.25,0.10649121913854785,0.1345337247222628,0.9939159358701772,0.008508659844569055,,
4,-0.0238248878987042,1524.869995,0.0536,0.9900385433165854,-1.1326600861433889,1.0123013592006096,0.0035802510195709607,-0.037762587726810536,0.2717283591927293,-0.0240392878987042,-0.02740513891827516,-2.7650382978574304,-5.668918644225084,0.2,0.34037892943021447,0.37670455379044127,2.8173062223683303,0.023824887898704135,,
5,0.024432429003113487,1525.400024,0.0536,1.0142275897365138,1.682134858147947,1.012653224657255,0.00034758963173111835,0.04705205423874734,0.3022330944005116,0.024218029003113487,0.02408483937138237,2.553803862076615,0.39288926186906903,0.3333333333333333,0.3282703879768056,0.37670455379044127,2.8173062223683303,0.023824887898704135,,
6,-0.028902605881184623,1530.439941,0.0536,0.9849137694365355,-1.7510898763275407,1.0159990278051216,0.003303996932413874,-0.03695500888331168,0.33973371131974595,-0.029117005881184623,-0.032206602813598495,-2.05689151438793,-3.8570393796299047,0.2857142857142857,0.43691888181781535,0.4569903244936067,3.435736012552482,0.028902605881184665,,
7,0.02829269962602353,1531.849976,0.0536,1.0127796388727381,1.504282793902064,1.016935094716859,0.0009213265821321795,0.03223097236661032,0.36012413903612317,0.02807829962602353,0.02737137304389135,1.367733996889658,-0.2654062149445629,0.375,0.43290459328265707,0.4569903244936067,3.435736012552482,0.028902605881184665,,
8,0.04346940941886508,1510.119995,0.0536,1.0568045716459875,6.680399296373167,1.0025094129381946,-0.014185449841988988,0.11411606476202778,0.4059602023191423,0.04325500941886508,0.05765485926085407,4.6103355264186145,3.8598588020190645,0.4444444444444444,0.42889030474749884,0.4569903244936067,3.435736012552482,0.028902605881184665,,
9,-0.008300707718575122,1518.76001,0.0536,1.0480323457811,5.630263317160427,1.0082451798932088,0.005721409575799987,0.08685364502067063,0.3884486850344709,-0.008515107718575122,-0.014022117294375108,3.6033807718188227,2.6331126961814815,0.4,0.42487601621234056,0.4569903244936067,3.435736012552482,0.028902605881184665,,
10,0.021933958417526295,1547.699951,0.0536,1.071019843673685,8.368338952150182,1.0274572712226637,0.019054979594834064,0.11284891387000635,0.3753453087890474,0.021719558417526295,0.002878978822692231,4.860366781166843,2.6727292878170554,0.45454545454545453,0.4208617276771823,0.4569903244936067,3.435736012552482,0.028902605881184665,,
11,0.0008956361496050659,1552.5,0.0536,1.0719790877626236,8.477828144812477,1.030643835416898,0.003101407993777079,0.10387730814888546,0.3573248907483476,0.0006812361496050659,-0.002205771844172013,4.663526571177403,2.413291661974487,0.4166666666666667,0.416847439142024,0.4569903244936067,3.435736012552482,0.028902605881184665,,
12,-0.003424460919790378,1549.52002,0.0536,1.0683081372697478,8.058639158289694,1.0286655436187238,-0.0019194718196457277,0.09070874235948968,0.34373629479806683,-0.003638860919790378,-0.0015049891001446501,4.195140942161772,2.222977546538389,0.38461538461538464,0.4128331506068657,0.4569903244936067,3.435736012552482,0.028902605881184665,,
13,-0.003369796982766038,1549.369995,0.0536,1.0647081557321119,7.643780122461365,1.0285659479076716,-9.682030439334832e-05,0.07963259536341208,0.3315166266584552,-0.003584196982766038,-0.0032729766783726895,3.7848060821547507,1.956104275627062,0.35714285714285715,0.4088188620717074,0.4569903244936067,3.435736012552482,0.028902605881184665,,
14,0.017295451556294986,1546.170044,0.0536,1.083122764061169,9.779059172748092,1.0264416259934777,-0.002065323977053021,0.09347777429423838,0.3226961751941409,0.017081051556294986,0.01936077553334801,4.580728695125032,2.8213811449988775,0.4,0.4048045735365492,0.4569903244936067,3.435736012552482,0.028902605881184665,,
15,-0.024555201192297434,1553.079956,0.0536,1.0565264666736895,6.656679682583174,1.0310288454498857,0.004469050494681714,0.06136246795084178,0.3349114156465646,-0.024769601192297434,-0.029024251686979148,2.832981519576298,1.2348361666320753,0.375,0.40887337194777945,0.4569903244936067,3.435736012552482,0.028902605881184665,,
16,0.02591936512724698,1534.099976,0.0536,1.083910961930005,9.845618640391493,1.0184287814348543,-0.01222086469320211,0.08314113536255181,0.3350774710063903,0.02570496512724698,0.03814022982044909,3.886657044671403,2.671762684909105,0.4117647058823529,0.40543644676593465,0.4569903244936067,3.435736012552482,0.028902605881184665,,
